#q(in ang),I(q)
0.0177,1.1128
0.0203,1.0917
0.0240,1.0510
0.0277,1.0193
0.0308,0.9873
0.0338,0.9544
0.0369,0.9231
0.0399,0.8871
0.0430,0.8508
0.0460,0.8163
0.0494,0.7755
0.0525,0.7401
0.0552,0.7069
0.0579,0.6737
0.0609,0.6398
0.0643,0.6038
0.0677,0.5654
0.0711,0.5306
0.0748,0.4937
0.0789,0.4553
0.0829,0.4193
0.0870,0.3873
0.0910,0.3568
0.0951,0.3278
0.0992,0.3036
0.1032,0.2800
0.1073,0.2598
0.1113,0.2410
0.1154,0.2233
0.1194,0.2084
0.1234,0.1951
0.1275,0.1813
0.1315,0.1684
0.1356,0.1590
0.1399,0.1525
0.1439,0.1431
0.1479,0.1350
0.1517,0.1291
0.1558,0.1197
0.1598,0.1073
0.1639,0.0989
0.1679,0.0906
0.1720,0.0841
0.1760,0.0777
0.1800,0.0727
0.1841,0.0662
0.1881,0.0612
0.1922,0.0562
0.1962,0.0503
0.2002,0.0463
0.2043,0.0408
0.2083,0.0363
0.2124,0.0328
0.2164,0.0292
0.2204,0.0252
0.2245,0.0227
0.2285,0.0192
0.2326,0.0166
0.2366,0.0131
0.2400,0.0116
