#q(in ang),I(q)
0.0187,5.2137
0.0205,5.0508
0.0228,4.8847
0.0249,4.7202
0.0269,4.5400
0.0281,4.4010
0.0303,4.2502
0.0324,4.0700
0.0344,3.8976
0.0365,3.7096
0.0385,3.5295
0.0406,3.3650
0.0426,3.2005
0.0447,3.0438
0.0467,2.8793
0.0488,2.7265
0.0511,2.5738
0.0539,2.4063
0.0566,2.2447
0.0593,2.0832
0.0620,1.9598
0.0651,1.8241
0.0685,1.6760
0.0722,1.5456
0.0762,1.4202
0.0803,1.3008
0.0843,1.2068
0.0884,1.1128
0.0925,1.0305
0.0965,0.9581
0.1006,0.8876
0.1046,0.8308
0.1086,0.7701
0.1127,0.7191
0.1167,0.6702
0.1208,0.6212
0.1248,0.5820
0.1289,0.5409
0.1329,0.5096
0.1370,0.4743
0.1410,0.4450
0.1450,0.4195
0.1491,0.3940
0.1531,0.3705
0.1572,0.3451
0.1612,0.3255
0.1653,0.3059
0.1693,0.2844
0.1733,0.2707
0.1774,0.2491
0.1814,0.2334
0.1855,0.2217
0.1895,0.2041
0.1935,0.1923
0.1976,0.1767
0.2016,0.1669
0.2057,0.1531
0.2090,0.1443
