0.00952488	0.00784295
0.0161325	0.00709470
0.0228743	0.00611106
0.0291395	0.00535000
0.0338787	0.00434723
0.0396336	0.00391004
0.0437671	0.00319246
0.0494954	0.00287595
0.0536260	0.00228946
0.0593624	0.00205499
0.0638075	0.00165848
0.0695476	0.00153789
0.0736866	0.00124994
0.0781379	0.000967660
0.0799080	0.00128540
0.0850613	0.000929774
0.0910176	0.000911578
0.0931045	0.000694011
0.0966766	0.000536232
0.100083	0.000769559
0.103110	0.000531458
0.108833	0.000418000
0.109955	0.000617940
0.113796	0.000221142
0.114388	0.000297466
0.115471	0.000506732
0.118805	0.000606316
0.121083	0.000334437
0.122605	0.000463960
0.122794	0.000237308
0.128227	0.000444499
0.128413	0.000354970
0.128515	0.000209254
0.132516	0.000261041
0.132645	0.000138062
0.135960	0.000375153
0.137897	0.000259672
0.137913	0.000184506
0.138749	0.0000778507
0.139787	0.000154450
0.142882	0.000356648
0.144793	0.000196387
0.145008	0.000271474
0.146866	0.000145806
0.151161	0.000117369
0.151340	0.000223625
0.151511	0.000302203
0.154090	0.0000922433
0.154601	0.000179670
0.158136	0.000138746
0.158645	0.000267710
0.160773	0.0000392030
0.161010	0.000198673
0.161746	0.0000880431
0.164797	0.000122932
0.164924	0.0000290326
0.165293	0.000292563
0.167842	0.000181433
0.168754	0.0000813068
0.169633	0.0000258779
0.172041	0.000309193
0.172599	0.000137088
0.173033	0.0000571054
0.174351	0.000231198
0.175098	0.000164389
0.175602	0.0000963253
0.177851	0.0000199630
0.178846	0.0000506288
0.179956	0.0000657744
0.180778	0.000245806
0.181175	0.000132355
0.181340	0.000180970
0.182679	0.0000952455
0.186360	0.00000262649
0.186528	0.0000567237
0.187346	0.000134711
0.187607	0.000303590
0.187607	0.0000306777
0.188137	0.000191330
0.189705	0.0000863780
0.190725	0.000120357
0.192854	0.0000442940
0.194006	0.0000245612
0.194230	0.0000673103
0.194563	0.000343973
0.194934	0.000188565
0.196249	0.0000102396
0.196520	0.0000359183
0.197590	0.000113758
0.199778	0.000319929
0.200733	0.0000667684
0.201251	0.0000448114
0.201871	0.000205092
