#qRg,(qRg)^2I(q)/I(0)
0.588,0.3064
0.844,0.5657
1.160,0.8240
1.381,1.043
1.654,1.183
1.869,1.353
2.164,1.465
2.412,1.548
2.670,1.683
2.924,1.781
3.201,1.808
3.457,1.951
3.708,1.906
3.963,2.049
4.214,1.897
4.490,1.995
4.743,1.862
4.995,1.960
5.274,2.175
5.525,2.050
5.777,1.995
6.056,2.077
6.308,1.979
6.567,1.913
6.815,1.915
7.067,1.844
7.340,1.620
7.596,1.942
7.848,1.826
8.102,1.567
8.376,1.433
8.627,1.469
8.884,1.924
9.156,1.416
9.413,1.594
9.667,1.585
9.943,1.269
